,start,stop,strand,gene_name,length,operon
b2448,2563592,2563969,+,yffQ,377,yffQR
b2449,2563980,2564372,+,yffR,392,yffQR
b2450,2564523,2565332,+,yffS,809,yffS
b2451,2565481,2566884,-,eutA,1403,eutHA
b2452,2566881,2568107,-,eutH,1226,eutHA
b2453,2568324,2569511,-,eutG,1187,eutNEJG
b2454,2569501,2570337,-,eutJ,836,eutNEJG
b2455,2570348,2571751,-,eutE,1403,eutNEJG
b2456,2571763,2572050,-,eutN,287,eutNEJG
b2457,2572157,2572450,-,eutM,293,eutSPQTDM
b2458,2572489,2573505,-,eutD,1016,eutSPQTDM
b2459,2573502,2574305,-,eutT,803,eutSPQTDM
b2460,2574302,2575003,-,eutQ,701,eutSPQTDM
b2461,2574978,2575457,-,eutP,479,eutSPQTDM
b2462,2575470,2575805,-,eutS,335,eutSPQTDM
b2463,2576098,2578377,-,maeB,2279,maeB
b2464,2578666,2579616,+,talA,950,talA 
b2465,2579636,2581639,+,tktB,2003,talA-tktB 
b2466,2581734,2582777,-,ypfG,1043,ypfG
b2467,2582903,2583478,-,nudK,575,nudK
b2468,2583546,2585525,-,aegA,1979,aegA
b2469,2585731,2587431,+,narQ,1700,narQ
b2470,2587595,2590708,+,acrD,3113,acrD 
b2471,2591247,2591603,+,yffB,356,yffB-dapE-ypfN
b2472,2591607,2592734,+,dapE,1127,dapE-ypfN 
b2473,2593072,2593770,-,ypfH,698,ypfH
b2474,2593844,2595859,-,tmcA,2015,ypfJ-tmcA
b2475,2595874,2596737,-,ypfJ,863,ypfJ-tmcA
b2476,2596905,2597618,-,purC,713,purC
b2477,2597831,2598865,-,bamC,1034,bamC 
b2478,2598882,2599760,-,dapA,878,dapA-nlpB
b2479,2599906,2600478,+,gcvR,572,gcvR 
b2480,2600478,2600948,+,bcp,470,bcp
b2481,2601201,2601818,+,hyfA,617,hyfABCDEFGHIJR-focB
b2482,2601818,2603836,+,hyfB,2018,hyfABCDEFGHIJR-focB
b2483,2603847,2604794,+,hyfC,947,hyfABCDEFGHIJR-focB
b2484,2604811,2606250,+,hyfD,1439,hyfABCDEFGHIJR-focB
b2485,2606262,2606912,+,hyfE,650,hyfABCDEFGHIJR-focB
b2486,2606917,2608497,+,hyfF,1580,hyfABCDEFGHIJR-focB
b2487,2608487,2610154,+,hyfG,1667,hyfABCDEFGHIJR-focB
b2488,2610164,2610709,+,hyfH,545,hyfABCDEFGHIJR-focB
b2489,2610706,2611464,+,hyfI,758,hyfABCDEFGHIJR-focB
b2490,2611457,2611870,+,hyfJ,413,hyfABCDEFGHIJR-focB
b2491,2611900,2613912,+,hyfR,2012,hyfABCDEFGHIJR-focB
b2492,2613934,2614782,+,focB,848,hyfABCDEFGHIJR-focB
b2493,2614820,2615881,-,yfgO,1061,yfgO
b2494,2616094,2617557,+,bepA,1463,bepA-yfgD 
b2495,2617578,2617937,+,yfgD,359,bepA-yfgD 
b2496,2618075,2618776,-,hda,701,hda
b2497,2618871,2620160,-,uraA,1289,upp-uraA
b2498,2620246,2620872,-,upp,626,upp-uraA
b2499,2621197,2622234,+,purM,1037,purMN
b2500,2622234,2622872,+,purN,638,purMN
b2501,2623044,2625110,+,ppk,2066,ppk-ppx 
b2502,2625115,2626656,+,ppx,1541,ppk-ppx 
b2503,2626695,2628938,-,pdeF,2243,yfgF
b2504,2629290,2629481,+,yfgG,191,yfgG
b2505,2629792,2630310,+,yfgH,518,yfgHI
b2506,2630326,2630865,+,yfgI,539,yfgHI
b2507,2630958,2632535,-,guaA,1577,guaBA
b2508,2632604,2634070,-,guaB,1466,guaBA
b2509,2634232,2635602,+,xseA,1370,xseA
b2510,2635599,2635814,-,yfgJ,215,yfgJ
b2511,2635884,2637356,-,der,1472,bamB-der
b2512,2637474,2638652,-,bamB,1178,bamB-der
b2513,2638663,2639283,-,yfgM,620,yfGM 
b2514,2639301,2640575,-,hisS,1274,hisS
b2515,2640686,2641804,-,ispG,1118,ispG-sroE
b2516,2641831,2642844,-,rodZ,1013,yfgA
b2517,2643129,2644283,-,rlmN,1154,rlmN
b2518,2644433,2644864,-,ndk,431,ndk
b2519,2645013,2647325,-,pbpC,2312,yfhM-pbpC
b2520,2647326,2652287,-,yfhM,4961,yfhM-pbpC
b2521,2652494,2653339,+,sseA,845,sseA
b2522,2654157,2654933,-,sseB,776,sseB
b2523,2655075,2656358,-,pepB,1283,pepB
b2524,2656536,2656736,-,iscX,200,hscBA-fdx-iscX
b2525,2656748,2657083,-,fdx,335,hscBA-fdx-iscX
b2526,2657085,2658935,-,hscA,1850,hscBA-fdx-iscX
b2527,2658952,2659467,-,hscB,515,hscBA-fdx-iscX
b2528,2659563,2659886,-,iscA,323,iscRSUA
b2529,2659903,2660289,-,iscU,386,iscRSUA
b2530,2660317,2661531,-,iscS,1214,iscRSUA
b2531,2661643,2662131,-,iscR,488,iscRSUA
b2532,2662583,2663323,-,trmJ,740,trmJ
b2533,2663442,2664245,+,suhB,803,suhB
b2534,2664390,2665244,+,yfhR,854,yfhR
b2535,2665435,2666715,+,csiE,1280,csiE 
b2536,2666707,2667846,-,hcaT,1139,hcaT
b2537,2668006,2668896,-,hcaR,890,hcaR
b2538,2669032,2670393,+,hcaE,1361,hcaEFCBD
b2539,2670390,2670908,+,hcaF,518,hcaEFCBD
b2540,2670908,2671228,+,hcaC,320,hcaEFCBD
b2541,2671225,2672037,+,hcaB,812,hcaEFCBD
b2542,2672047,2673249,+,hcaD,1202,hcaEFCBD
b2543,2673346,2673768,+,yphA,422,yphA
b2544,2673816,2674688,-,yphB,872,yphCB
b2545,2674700,2675761,-,yphC,1061,yphCB
b2546,2675827,2676825,-,yphD,998,yphFED
b2547,2676850,2678361,-,yphE,1511,yphFED
b2548,2678384,2679367,-,yphF,983,yphFED
b2549,2679464,2682745,-,yphG,3281,yphG
b2550,2682863,2684056,+,yphH,1193,yphH
b2551,2684254,2685507,-,glyA,1253,glyA
b2552,2685835,2687025,+,hmp,1190,hmp
b2553,2687070,2687408,-,glnB,338,glrR-glnB 
b2554,2687469,2688803,-,glrR,1334,glrR-glnB 
b2555,2688793,2689506,-,qseG,713,yfhG
b2556,2689671,2691098,-,glrK,1427,glrK
b2557,2691656,2695543,-,purL,3887,purL
b2558,2695801,2697357,+,mltF,1556,mltF
b2559,2697354,2697857,-,tadA,503,pgpC-tadA
b2560,2697915,2698550,-,pgpC,635,pgpC-tadA
b2561,2698759,2699607,+,yfhH,848,yfhH
b2562,2699663,2699923,+,yfhL,260,yfhL
b2563,2700618,2700998,-,acpS,380,pdxJ-acpS 
b2564,2700998,2701729,-,pdxJ,731,pdxJ-acpS 
b2565,2701741,2702469,-,recO,728,rnc-era-recO-pdxJ-acpS
b2566,2702481,2703386,-,era,905,rnc-era-recO-pdxJ-acpS 
b2567,2703383,2704063,-,rnc,680,rnc-era-recO-pdxJ-acpS 
b2568,2704335,2705309,-,lepB,974,lepAB
b2569,2705325,2707124,-,lepA,1799,lepAB
b2570,2707322,2707801,-,rseC,479,rpoE-rseABC 
b2571,2707798,2708754,-,rseB,956,rpoE-rseABC 
b2572,2708754,2709404,-,rseA,650,rpoE-rseABC 
b2573,2709437,2710012,-,rpoE,575,rpoE-rseABC 
b2574,2710420,2712042,+,nadB,1622,nadB
b2575,2712027,2712764,-,yfiC,737,yfiC
b2576,2712896,2714230,+,srmB,1334,srmB
b2577,2714439,2715320,-,yfiE,881,yfiE
b2578,2715423,2716010,+,eamB,587,yfiK
b2579,2716066,2716449,-,grcA,383,grcA 
b2580,2716754,2717443,+,ung,689,ung
b2581,2717491,2718528,-,yfiF,1037,yfiF
b2582,2718735,2719154,+,trxC,419,trxC
b2583,2719223,2719921,+,tapT,698,tapT-patZ
b2584,2719953,2722613,+,patZ,2660,patZ 
b2585,2722727,2724082,+,pssA,1355,pssA
b2586,2724128,2724451,+,yfiM,323,yfiM
b2587,2724448,2725746,-,kgtP,1298,kgtP
b2588,2726069,2726188,-,rrfG,119,rrsG-gltW-rrlG-rrfG 
b2589,2726281,2729184,-,rrlG,2903,rrsG-gltW-rrlG-rrfG 
b2590,2729369,2729444,-,gltW,75,rrsG-gltW-rrlG-rrfG 
b2591,2729616,2731157,-,rrsG,1541,rrsG-gltW-rrlG-rrfG 
b2592,2731600,2734173,-,clpB,2573,clpB 
b2593,2734303,2735034,-,pgeF,731,rluD-pgeF
b2594,2735031,2736011,-,rluD,980,rluD-pgeF
b2595,2736146,2736883,+,bamD,737,bamD 
b2596,2736913,2737119,+,b2596,206,
b2597,2737154,2737495,+,raiA,341,raiAZ
b2598,2737599,2737646,+,pheL,47,pheLA
b2599,2737745,2738905,+,pheA,1160,pheLA
b2600,2738948,2740069,-,tyrA,1121,aroF-tyrA
b2601,2740080,2741150,-,aroF,1070,aroF-tyrA
b2602,2741360,2741725,+,yfiL,365,yfiL
b2603,2741875,2742393,+,yfiR,518,yfiRN 
b2604,2742383,2743609,+,dgcN,1226,yfiRN 
b2605,2743625,2744107,+,yfiB,482,yfiR-dgcN-yfiB
b2606,2744183,2744530,-,rplS,347,rpsP-rimM-trmD-rplS
b2607,2744572,2745339,-,trmD,767,rpsP-rimM-trmD-rplS
b2608,2745370,2745918,-,rimM,548,rpsP-rimM-trmD-rplS
b2609,2745937,2746185,-,rpsP,248,rpsP-rimM-trmD-rplS
b2610,2746434,2747795,-,ffh,1361,ffh
b2611,2747962,2748753,+,ypjD,791,ypjD
b2614,2750115,2750708,-,grpE,593,grpE
b2615,2750831,2751709,+,nadK,878,nadK
b2616,2751795,2753456,+,recN,1661,recN
b2617,2753605,2753946,+,bamE,341,bamE
b2618,2754008,2754298,-,yfjF,290,ratA-yfjF
b2619,2754288,2754764,-,ratA,476,ratA-yfjF
b2620,2754896,2755378,+,smpB,482,smpB
b2621,2755593,2755955,+,ssrA,362,ssrA
b2622,2756159,2757400,+,intA,1241,intA
b2623,2757644,2758600,-,yfjH,956,yfjH
b2624,2758644,2758856,+,alpA,212,alpA
b2625,2758985,2760394,+,yfjI,1409,yfjI
b2626,2760547,2761173,+,yfjJ,626,yfjJ
b2627,2761351,2763540,-,abpB,2189,abpAB
b2628,2763537,2765153,-,abpA,1616,abpAB
b2629,2765513,2765776,-,yfjM,263,yfjM
b2630,2765918,2766991,+,rnlA,1073,rnlA 
b2631,2766984,2767355,+,rnlB,371,rnlB 
b2632,2767710,2768573,+,yfjP,863,yfjPQ
b2633,2768665,2769486,+,yfjQ,821,yfjPQ
b2634,2769703,2770404,+,yfjR,701,yfjR-ypjK-yfjS-yfjT
b2635,2770445,2770681,+,ypjK,236,yfjR-ypjK-yfjS-yfjT
b2636,2770681,2771124,+,yfjS,443,yfjR-ypjK-yfjS-yfjT
b2637,2771148,2771615,+,yfjT,467,yfjR-ypjK-yfjS-yfjT
b2638,2771840,2772154,-,yfjU,314,yfjU
b2641,2772167,2773182,-,yfjV,1015,yfjV
b2642,2773318,2775021,+,yfjW,1703,yfjW
b2643,2775919,2776377,+,yfjX,458,yfjXY-ypjJ-yfjZ-ypjF
b2644,2776386,2776868,+,yfjY,482,yfjXY-ypjJ-yfjZ-ypjF
b2645,2777115,2777432,+,yfjZ,317,yfjXY-ypjJ-yfjZ-ypjF
b2646,2777453,2777782,+,ypjF,329,yfjXY-ypjJ-yfjZ-ypjF
b2647,2778146,2782726,-,ypjA,4580,ypjA
b2648,2783065,2783304,-,pinH,239,pinH
b2649,2783638,2784429,-,ypjB,791,ypjB
b2650,2784529,2785011,-,ypjC,482,ypjC
b2651,2785221,2785352,+,b2651,131,
b2652,2785762,2785837,-,ileY,75,ileY
b2653,2785800,2785973,-,b2653,173,
b2659,2788985,2789962,+,glaH,977,csiD-ygaF-gabDTP
b2660,2789982,2791250,+,lhgD,1268,csiD-ygaF-gabDTP
b2661,2791273,2792721,+,gabD,1448,gabDTP 
b2662,2792735,2794015,+,gabT,1280,gabDTP 
b2663,2794253,2795653,+,gabP,1400,gabDTP 
b2664,2795674,2796336,+,glaR,662,CsiR
b2665,2796337,2796786,-,kbp,449,yqaE-kbp 
b2666,2796870,2797028,-,yqaE,158,yqaE-kbp 
b2667,2797211,2797510,+,ygaV,299,ygaVP
b2668,2797520,2798044,+,ygaP,524,ygaVP
b2669,2798091,2798495,-,stpA,404,stpA 
b2670,2799164,2799613,+,alaE,449,alaE
b2671,2799650,2799994,-,ygaC,344,ygaC
b2672,2800146,2800475,+,ygaM,329,ygaM
b2673,2800723,2800968,+,nrdH,245,nrdHIEF
b2674,2800965,2801375,+,nrdI,410,nrdHIEF
b2675,2801348,2803492,+,nrdE,2144,nrdHIEF
b2676,2803502,2804461,+,nrdF,959,nrdHIEF
b2677,2804815,2806017,+,proV,1202,proVWX 
b2678,2806010,2807074,+,proW,1064,proVWX 
b2679,2807132,2808124,+,proX,992,proVWX 
b2681,2808316,2809493,+,ygaY,1177,ygaY
b2682,2809617,2810354,+,ygaZ,737,ygaZH
b2683,2810344,2810679,+,ygaH,335,ygaZH
b2684,2810770,2811300,+,mprA,530,emrRAB
b2685,2811427,2812599,+,emrA,1172,emrRAB
b2686,2812616,2814154,+,emrB,1538,emrRAB
b2687,2814218,2814733,-,luxS,515,luxS 
b2688,2814883,2816439,-,gshA,1556,gshA
b2689,2816512,2816940,-,yqaA,428,yqaBA
b2690,2816937,2817503,-,yqaB,566,yqaBA
b2691,2817784,2817860,-,argQ,76,argQ 
b2692,2818059,2818135,-,argZ,76,serV-argVYZQ
b2693,2818198,2818274,-,argY,76,serV-argVYZQ
b2694,2818473,2818549,-,argV,76,serV-argVYZQ
b2695,2818553,2818645,-,serV,92,serV-argVYZQ
b2696,2818961,2819146,-,csrA,185,csrA 
b2697,2819381,2822011,-,alaS,2630,alaS
b2698,2822139,2822639,-,recX,500,recAX
b2699,2822708,2823769,-,recA,1061,recAX 
b2700,2823849,2824346,-,pncC,497,pncC
b2701,2824491,2825576,-,mltB,1085,mltB
b2702,2825832,2826395,+,srlA,563,srlAEBD-gutM-srlR-gutQ
b2703,2826392,2827351,+,srlE,959,srlAEBD-gutM-srlR-gutQ
b2704,2827362,2827733,+,srlB,371,srlAEBD-gutM-srlR-gutQ
b2705,2827737,2828516,+,srlD,779,srlAEBD-gutM-srlR-gutQ
b2706,2828621,2828980,+,gutM,359,srlAEBD-gutM-srlR-gutQ
b2707,2829047,2829820,+,srlR,773,srlR 
b2708,2829813,2830778,+,gutQ,965,srlAEBD-gutM-srlR-gutQ
b2709,2830775,2832289,-,norR,1514,norR 
b2710,2832476,2833915,+,norV,1439,norVW
b2711,2833912,2835045,+,norW,1133,norVW
b2712,2835173,2837425,-,hypF,2252,hypF 
b2713,2837578,2838105,-,hydN,527,hydN-hypF
b2714,2838254,2839264,-,ascG,1010,ascG
b2715,2839524,2840981,+,ascF,1457,ascFB
b2716,2840990,2842414,+,ascB,1424,ascB 
b2717,2842573,2843043,-,hycI,470,hycABCDEFGHI
b2718,2843036,2843446,-,hycH,410,hycABCDEFGHI
b2719,2843443,2844210,-,hycG,767,hycABCDEFGHI
b2720,2844210,2844752,-,hycF,542,hycABCDEFGHI
b2721,2844762,2846471,-,hycE,1709,hycABCDEFGHI
b2722,2846489,2847412,-,hycD,923,hycABCDEFGHI
b2723,2847415,2849241,-,hycC,1826,hycABCDEFGHI
b2724,2849238,2849849,-,hycB,611,hycABCDEFGHI
b2725,2849974,2850435,-,hycA,461,hycABCDEFGHI
b2726,2850647,2850997,+,hypA,350,hypABCDE-fhlA 
b2727,2851001,2851873,+,hypB,872,hypBCDE-fhlA 
b2728,2851864,2852136,+,hypC,272,hypBCDE-fhlA 
b2729,2852136,2853257,+,hypD,1121,hypBCDE-fhlA 
b2730,2853254,2854264,+,hypE,1010,hypBCDE-fhlA 
b2731,2854338,2856416,+,fhlA,2078,hypBCDE-fhlA 
b2732,2856453,2856806,-,ygbA,353,ygbA
b2733,2857093,2859654,+,mutS,2561,mutS
b2734,2859760,2860416,+,pphB,656,pphB
b2735,2860467,2861234,-,ygbI,767,ygbI
b2736,2861430,2862338,+,ygbJ,908,ygbJK
b2737,2862335,2863501,+,ygbK,1166,ygbK 
b2738,2863593,2864231,+,ygbL,638,ygbLM
b2739,2864236,2865012,+,ygbM,776,ygbLM
b2740,2865101,2866465,+,ygbN,1364,ygbN
b2741,2866559,2867551,-,rpoS,992,rpoS 
b2742,2867614,2868753,-,nlpD,1139,nlpD-rpoS 
b2743,2868893,2869519,-,pcm,626,umpG-pcm
b2744,2869513,2870274,-,umpG,761,umpG-pcm
b2745,2870255,2871304,-,truD,1049,truD
b2746,2871301,2871780,-,ispF,479,ispDF
b2747,2871780,2872490,-,ispD,710,ispDF
b2748,2872509,2872820,-,ftsB,311,ftsB
b2749,2873014,2873337,-,ygbE,323,ygbE
b2750,2873387,2873992,-,cysC,605,cysDNC
b2751,2873992,2875419,-,cysN,1427,cysDNC
b2752,2875421,2876329,-,cysD,908,cysDNC
b2753,2876581,2877618,+,iap,1037,iap
b2754,2878569,2878853,-,cas2,284,casDE-ygbTF 
b2755,2878855,2879772,-,cas1,917,casDE-ygbTF 
b2756,2879788,2880387,-,casE,599,casDE-ygbTF 
b2757,2880374,2881048,-,casD,674,casDE-ygbTF 
b2758,2881051,2882142,-,casC,1091,casABCDE12
b2759,2882155,2882637,-,casB,482,casABCDE12
b2760,2882630,2884138,-,casA,1508,casABCDE12
b2761,2884553,2887219,-,cas3,2666,cas3
b2762,2887578,2888312,-,cysH,734,cysH 
b2763,2888387,2890099,-,cysI,1712,cysJIH
b2764,2890099,2891898,-,cysJ,1799,cysJIH
b2765,2892214,2892579,+,queD,365,queD
b2766,2892657,2893928,+,ygcN,1271,ygcNOP
b2767,2893919,2894179,+,ygcO,260,ygcNOP
b2768,2894196,2894771,+,ygcP,575,ygcNOP
b2769,2894919,2895779,-,ygcQ,860,ygcRQ
b2770,2895776,2896555,-,ygcR,779,ygcRQ
b2771,2896533,2897870,-,ygcS,1337,ygcS
b2774,2899488,2900273,-,ygcW,785,ygcW
b2775,2900592,2901869,+,yqcE,1277,yqcE-ygcE
b2776,2901896,2903374,+,ygcE,1478,yqcE-ygcE
b2777,2904747,2905418,-,queE,671,queE
b2778,2905711,2906583,+,ygcG,872,ygcG
b2779,2906643,2907941,-,eno,1298,eno 
b2780,2908029,2909666,-,pyrG,1637,pyrG-eno 
b2781,2909894,2910685,-,mazG,791,mazEFG 
b2782,2910756,2911091,-,mazF,335,relA-mazEF 
b2783,2911091,2911339,-,mazE,248,relA-mazEF 
b2784,2911417,2913651,-,relA,2234,relA 
b2785,2913699,2915000,-,rlmD,1301,rlmD
b2786,2915057,2917813,+,barA,2756,barA
b2787,2918045,2919385,-,gudD,1340,gudPXD
b2788,2919406,2920746,-,gudX,1340,gudPXD
b2789,2920748,2922100,-,gudP,1352,gudPXD
b2790,2922535,2922984,-,yqcA,449,yqcC-truC-yqcA
b2791,2923002,2923784,-,truC,782,yqcC-truC-yqcA
b2792,2923784,2924113,-,yqcC,329,yqcC-truC-yqcA
b2793,2924735,2925280,-,syd,545,syd
b2794,2925348,2926196,+,queF,848,queF
b2795,2926308,2927672,+,ppnN,1364,ppnN
b2796,2928229,2929518,+,sdaC,1289,sdaCB
b2797,2929576,2930943,+,sdaB,1367,sdaCB
b2798,2931055,2931810,+,ygdG,755,ygdG
b2799,2931865,2933013,-,fucO,1148,fucO 
b2800,2933041,2933688,-,fucA,647,fucAO
b2801,2934235,2935551,+,fucP,1316,fucPIKUR
b2802,2935584,2937359,+,fucI,1775,fucPIKUR
b2803,2937468,2938886,+,fucK,1418,fucPIKUR
b2804,2938888,2939310,+,fucU,422,fucU 
b2805,2939368,2940099,+,fucR,731,fucR 
b2806,2940143,2941243,-,rlmM,1100,rlmM
b2807,2941236,2941631,-,ygdD,395,ygdD
b2808,2941650,2942567,-,gcvA,917,gcvA
b2809,2942918,2943145,-,ygdI,227,ygdI
b2810,2943337,2944542,+,csdA,1205,csdAE
b2811,2944542,2944985,+,csdE,443,csdAE
b2812,2945036,2945842,-,tcdA,806,tcdA
b2813,2946081,2947178,-,mltA,1097,mltA
b2814,2947387,2947463,+,metZ,76,metZWV
b2815,2947497,2947573,+,metW,76,metZWV
b2816,2947607,2947683,+,metV,76,metZWV
b2817,2947757,2949010,-,amiC,1253,amiC
b2818,2949242,2950573,+,argA,1331,argA
b2819,2950635,2952461,-,recD,1826,ptrA-recBD
b2820,2952461,2956003,-,recB,3542,ptrA-recBD
b2821,2955996,2958884,-,ptrA,2888,ptrA-recBD 
b2822,2959060,2962428,-,recC,3368,ppdAB-ygdB-ppdC-recC 
b2823,2962441,2962764,-,ppdC,323,ppdAB-ygdB-ppdC-recC
b2824,2962749,2963156,-,ygdB,407,ppdAB-ygdB-ppdC-recC
b2825,2963153,2963716,-,ppdB,563,ppdAB-ygdB-ppdC-recC
b2826,2963707,2964177,-,ppdA,470,ppdAB-ygdB-ppdC-recC
b2827,2964361,2965155,-,thyA,794,thyA 
b2828,2965162,2966037,-,lgt,875,lgt 
b2829,2966188,2968434,-,ptsP,2246,rppH-ptsP
b2830,2968447,2968977,-,rppH,530,rppH-ptsP
b2831,2969662,2970351,+,mutH,689,mutH
b2832,2970420,2971133,+,ygdQ,713,ygdQ
b2833,2971271,2971489,+,ygdR,218,ygdR
b2834,2971597,2972637,+,tas,1040,tas
b2835,2972669,2973862,-,lplT,1193,aas-lplT
b2836,2973855,2976014,-,aas,2159,aas-lplT
b2837,2976599,2977630,+,galR,1031,galR
b2838,2977637,2978899,-,lysA,1262,lysA
b2839,2979021,2979956,+,lysR,935,lysR
b2840,2979943,2980635,-,ygeA,692,araE-ygeA 
b2841,2980764,2982182,-,araE,1418,araE-ygeA 
b2842,2982497,2983258,-,kduD,761,kduD
b2843,2983288,2984124,-,kduI,836,kduI
b2844,2984411,2985592,-,yqeF,1181,yqeF
b2845,2985847,2987076,+,yqeG,1229,yqeG
b2846,2987536,2988168,+,yqeH,632,yqeH
b2847,2988502,2989311,+,yqeI,809,yqeIJ
b2848,2989304,2989786,+,yqeJ,482,yqeIJ
b2849,2989935,2990360,-,yqeK,425,yqeK
b2850,2990554,2991043,+,ygeF,489,ygeF
b2851,2991268,2991759,+,ygeG,491,ygeG
b2852,2992094,2993470,+,ygeH,1376,ygeH
b2853,2993638,2993856,+,ygeI,218,ygeI
b2854,2993939,2994441,+,pbl,502,pbl
b2855,2994460,2994903,-,ygeK,443,ygeLK
b2856,2994937,2995092,-,ygeL,155,ygeLK
b2858,2995314,2996020,-,ygeN,706,insC4D4CD4-ygeON
b2859,2995962,2996360,-,ygeO,398,insC4D4CD4-ygeON
b2860,2996372,2997277,-,insD4,905,insC4D4CD4-ygeON
b2861,2997235,2997600,-,insC4,365,insC4D4CD4-ygeON
b2862,2997689,2997988,-,ygeP,299,ygeP
b2863,2998034,2998828,-,ygeQ,794,ygeQ
b2864,2998984,2999057,-,glyU,73,glyU 
b2865,2999136,2999891,-,ygeR,755,ygeR
b2866,3000345,3002603,+,xdhA,2258,xdhABC 
b2867,3002614,3003492,+,xdhB,878,xdhABC 
b2868,3003489,3003968,+,xdhC,479,xdhABC 
b2869,3004008,3005786,-,ygeV,1778,ygeV
b2870,3006262,3007452,+,ygeW,1190,ygeW
b2871,3007510,3008706,+,ygeX,1196,ygeX
b2872,3008764,3009975,+,ygeY,1211,ygeY
b2873,3010028,3011413,+,hyuA,1385,hyuA
b2874,3011461,3012393,+,yqeA,932,yqeA
b2875,3012614,3014239,-,yqeB,1625,yqeB
b2876,3014287,3015057,-,yqeC,770,yqeC
b2877,3015160,3015738,+,mocA,578,mocA
b2878,3016060,3019158,+,ygfK,3098,ygfK-ssnA
b2879,3019161,3020489,+,ssnA,1328,ssnA 
b2880,3020540,3021319,+,ygfM,779,ygfM-xdhD
b2881,3021316,3024186,+,xdhD,2870,ygfM-xdhD
b2882,3024351,3025751,+,xanQ,1400,xanQ-guaD-ghxQ
b2883,3025766,3027085,+,guaD,1319,xanQ-guaD-ghxQ
b2886,3028524,3029012,-,ygfS,488,ygfTS
b2887,3029012,3030931,-,ygfT,1919,ygfTS
b2888,3031367,3032815,+,uacT,1448,uacT
b2889,3033065,3033613,+,idi,548,idi
b2890,3033657,3035174,-,lysS,1517,prfB-lysS
b2891,3035184,3036282,-,prfB,1098,dsbC-recJ-prfB 
b2892,3036373,3038106,-,recJ,1733,xerD-dsbC-recJ 
b2893,3038112,3038822,-,dsbC,710,xerD-dsbC-recJ 
b2894,3038847,3039743,-,xerD,896,xerD-dsbC-recJ 
b2895,3039855,3040376,+,fldB,521,fldB
b2896,3040416,3040823,-,ygfX,407,sdhE-ygfX
b2897,3040804,3041070,-,sdhE,266,sdhE-ygfX
b2898,3041313,3042293,+,ygfZ,980,ygfZ
b2899,3042489,3043148,-,yqfA,659,yqfA
b2900,3043312,3043623,-,yqfB,311,yqfB
b2901,3043662,3045101,+,bglA,1439,bglA
b2902,3045158,3045901,-,ygfF,743,ygfF
b2903,3046168,3049041,-,gcvP,2873,gcvP 
b2904,3049160,3049549,-,gcvH,389,gcvTHP
b2905,3049573,3050667,-,gcvT,1094,gcvTHP
b2906,3051115,3052317,-,ubiI,1202,ygfB-pepP-ubiHI
b2907,3052340,3053518,-,ubiH,1178,ygfB-pepP-ubiHI
b2908,3053515,3054840,-,pepP,1325,ygfB-pepP-ubiHI
b2909,3054866,3055444,-,ygfB,578,ygfB-pepP-ubiHI
b2910,3055612,3055941,+,zapA,329,zapA
b2911,3055983,3056165,+,ssrS,182,ssrS-ygfA 
b2912,3056241,3056789,+,fau,548,ssrS-ygfA 
b2913,3057178,3058410,-,serA,1232,serA 
b2914,3058666,3059325,-,rpiA,659,rpiA
b2915,3059381,3059611,-,yqfE,230,yqfE
b2916,3059753,3060646,+,argP,893,argP
b2917,3060850,3062994,+,scpA,2144,scpA-argK-scpBC
b2918,3062987,3063982,+,argK,995,scpA-argK-scpBC
b2919,3063993,3064778,+,scpB,785,scpA-argK-scpBC
b2920,3064802,3066280,+,scpC,1478,scpA-argK-scpBC
b2921,3066277,3067173,-,ygfI,896,ygfI
b2922,3067340,3068080,-,yggE,740,yggE 
b2923,3068173,3068808,-,argO,635,argO
b2924,3068947,3069807,-,mscS,860,mscS
b2925,3070165,3071244,-,fbaA,1079,epd-pgk-fbaA 
b2926,3071459,3072622,-,pgk,1163,epd-pgk 
b2927,3072672,3073691,-,epd,1019,epd-pgk 
b2928,3073976,3074689,-,yggC,713,yggDC 
b2929,3074686,3075195,-,fumE,509,yggDC 
b2930,3075217,3076182,-,yggF,965,cmtBA-yggPF-fumE-yggC
b2933,3077471,3078859,-,cmtA,1388,cmtBA-yggPF-fumE-yggC
b2934,3078887,3079330,-,cmtB,443,cmtBA-yggPF-fumE-yggC
b2935,3079644,3081635,-,tktA,1991,tktA
b2936,3081913,3082671,+,loiP,758,yggG
b2937,3082877,3083797,-,speB,920,speB 
b2938,3083935,3085911,-,speA,1976,speAB
b2939,3085920,3086051,-,yqgB,131,yqgB
b2940,3086187,3086402,+,yqgC,215,yqgC
b2941,3086399,3086650,-,yqgD,251,yqgD
b2942,3086706,3087860,+,metK,1154,metK 
b2943,3088284,3089678,+,galP,1394,galP
b2944,3089755,3090252,+,yggI,497,yggI
b2945,3090347,3091054,+,endA,707,endA 
b2946,3091134,3091865,+,rsmE,731,rsmE-gshB
b2947,3091878,3092828,+,gshB,950,rsmE-gshB
b2948,3092937,3093500,+,yqgE,563,yqgEF
b2949,3093500,3093916,+,yqgF,416,yqgEF
b2950,3094100,3095080,-,yggR,980,yggR
b2951,3095098,3095802,+,yggS,704,yggSTU-rdgB-hemW
b2952,3095820,3096386,+,yggT,566,yggSTU-rdgB-hemW
b2953,3096383,3096673,+,yggU,290,yggSTU-rdgB-hemW
