,start,stop,strand,gene_name,length,,gene_product,evidence,PMID_list,confidence,all_bnumber,regulonDB_geneID
b2645,2777115,2777432,+,yfjZ,317,,CP4-57 prophage; putative antitoxin of the YpjF-YfjZ toxin-antitoxin system,,,,b2645,ECK120003948
b2646,2777453,2777782,+,ypjF,329,,CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system,,,,b2646,ECK120003949
b4645,2777972,2777985,+,psaA,13,,,,,,b4645,ECK125240973
b2647,2778146,2782726,-,ypjA,4580,,adhesin-like autotransporter YpjA,,,,b2647,ECK120003950
b2648,2783065,2783304,-,pinH,239,,putative invertase fragment,,,,b2648,ECK120003951
b2649,2783638,2784429,-,ypjB,791,,DUF5508 domain-containing protein YpjB,,,,b2649,ECK120003952
b2650,2784529,2785011,-,ypjC,482,,DUF5507 domain-containing protein YpjC,,,,b2650,ECK120003953
b2651,2785221,2785352,+,b2651,131,,,,,,,ECK120003954
b2652,2785762,2785837,-,ileY,75,,tRNA-Ile(CAU),[TAS|W|Traceable author statement],"7033244,",Weak,b2652,ECK120003955
b2653,2785800,2785973,-,Phantom Gene,173,,,,,,b2653,ECK120003956
b4462,2786397,2788649,+,ygaQ,2252,,putative uncharacterized protein YgaQ,,"32268068,",,"b2654,b2655,b2656,b2657,b2658,b4462",ECK120003957
b2659,2788985,2789962,+,glaH,977,,glutarate hydroxylase GlaH,,"9512707,",,b2659,ECK120003961
b2660,2789982,2791250,+,lhgD,1268,,L-2-hydroxyglutarate dehydrogenase,,,,b2660,ECK120002252
b2661,2791273,2792721,+,gabD,1448,,succinate-semialdehyde dehydrogenase (NADP) GabD,,"2254272,8297211,",,b2661,ECK120001300
b2662,2792735,2794015,+,gabT,1280,,4-aminobutyrate aminotransferase GabT,,"20729367,22636776,26838342,28338893,28727911,",,b2662,ECK120000354
b2663,2794253,2795653,+,gabP,1400,,4-aminobutanoate:H symporter,,,,b2663,ECK120001301
b2664,2795674,2796336,+,glaR,662,,DNA-binding transcriptional repressor GlaR,"[IMP|W|Inferred from mutant phenotype],[APPHINH|S|Assay of protein purified to homogeneity from its native host]","12446648,2188954,24037,28061857,30498244,",Strong,b2664,ECK120002251
b2665,2796337,2796786,-,kbp,449,,K binding protein,[IDA|S|Inferred from direct assay],"27112601,",Strong,b2665,ECK120003962
b2666,2796870,2797028,-,yqaE,158,,Pmp3 family protein YqaE,,"25246476,",,b2666,ECK120003963
b2667,2797211,2797510,+,ygaV,299,,putative DNA-binding transcriptional regulator YgaV,"[IMP|W|Inferred from mutant phenotype],[AIFS|W|Automated inference of function from sequence]","15556475,18245262,",Weak,b2667,ECK120003964
b2668,2797520,2798044,+,ygaP,524,,thiosulfate sulfurtransferase YgaP,,,,b2668,ECK120003965
b2669,2798091,2798495,-,stpA,404,,DNA-binding transcriptional repressor StpA with RNA chaperone activity,[IE|W|Inferred from experiment],,Weak,b2669,ECK120001507
b2670,2799164,2799613,+,alaE,449,,L-alanine exporter,,"19767843,",,b2670,ECK120003966
b2671,2799650,2799994,-,ygaC,344,,DUF2002 domain-containing protein YgaC,,,,b2671,ECK120002089
b2672,2800146,2800475,+,ygaM,329,,DUF883 domain-containing protein YgaM,,,,b2672,ECK120003967
b2673,2800723,2800968,+,nrdH,245,,glutaredoxin-like protein NrdH,[APPH|S|Assay of protein purified  to homogeneity],"9218434,",Strong,b2673,ECK120003968
b2674,2800965,2801375,+,nrdI,410,,dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI,[APPH|S|Assay of protein purified  to homogeneity],"18799738,21250660,",Strong,b2674,ECK120003969
b2675,2801348,2803492,+,nrdE,2144,,ribonucleoside-diphosphate reductase 2 subunit &alpha;,,,,b2675,ECK120002450
b2676,2803502,2804461,+,nrdF,959,,ribonucleoside-diphosphate reductase 2 subunit &beta;,,,,b2676,ECK120002248
b2677,2804815,2806017,+,proV,1202,,glycine betaine ABC transporter ATP binding subunit ProV,,"22257006,28911185,",,b2677,ECK120000762
b2678,2806010,2807074,+,proW,1064,,glycine betaine ABC transporter membrane subunit ProW,,,,b2678,ECK120000763
b2679,2807132,2808124,+,proX,992,,glycine betaine ABC transporter periplasmic binding protein ProX,,"11223528,",,b2679,ECK120000764
b2681,2808316,2809493,+,ygaY,1177,,"putative transporter YgaY, N-terminal fragment",,"12620868,14526028,",,"b2680,b2681",ECK120003970
b2682,2809617,2810354,+,ygaZ,737,,"L-valine exporter, YgaZ component",,,,b2682,ECK120003972
b2683,2810344,2810679,+,ygaH,335,,"L-valine exporter, YgaH component",,"31438868,",,b2683,ECK120003973
b2684,2810770,2811300,+,mprA,530,,DNA-binding transcriptional repressor MprA,,,,b2684,ECK120000596
b2685,2811427,2812599,+,emrA,1172,,multidrug efflux pump membrane fusion protein EmrA,,"24996185,27105118,30578262,",,b2685,ECK120001323
b2686,2812616,2814154,+,emrB,1538,,multidrug efflux pump membrane subunit EmrB,,"27105118,8509326,",,b2686,ECK120001403
b2687,2814218,2814733,-,luxS,515,,#NAME?,,"22176949,23226268,23246794,",,b2687,ECK120002369
b4442,2814802,2814874,+,micA,72,,small regulatory RNA MicA,"[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]","11448770,16204185,16313626,20976191,23594456,24163336,24244437,25030700,25046628,29467745,30287822,",Strong,b4442,ECK120002578
b2688,2814883,2816439,-,gshA,1556,,glutamate&mdash;cysteine ligase,,"11703177,",,b2688,ECK120000411
b2689,2816512,2816940,-,yqaA,428,,DedA family protein YqaA,,,,b2689,ECK120003974
b2690,2816937,2817503,-,yqaB,566,,fructose-1-phosphate phosphatase YqaB,,,,b2690,ECK120003975
b2691,2817784,2817860,-,argQ,76,,tRNA-Arg(ACG),[TAS|W|Traceable author statement],"7033244,",Weak,b2691,ECK120002456
b2692,2818059,2818135,-,argZ,76,,tRNA-Arg(ACG),[TAS|W|Traceable author statement],"7033244,",Weak,b2692,ECK120002462
b2693,2818198,2818274,-,argY,76,,tRNA-Arg(ACG),[TAS|W|Traceable author statement],"7033244,",Weak,b2693,ECK120002461
b2694,2818473,2818549,-,argV,76,,tRNA-Arg(ACG),[TAS|W|Traceable author statement],"7033244,",Weak,b2694,ECK120002458
b2695,2818553,2818645,-,serV,92,,tRNA-Ser(GCU),[TAS|W|Traceable author statement],"7033244,",Weak,b2695,ECK120002537
b2696,2818961,2819146,-,csrA,185,,carbon storage regulator,,"28334975,8366066,8393005,",,b2696,ECK120001410
b2697,2819381,2822011,-,alaS,2630,,alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor,,"20179335,23536244,24493149,25918376,27622773,",,b2697,ECK120000031
b2698,2822139,2822639,-,recX,500,,RecA inhibitor RecX,[IDA|S|Inferred from direct assay],"12055302,12218174,12427742,19116657,19555451,21143322,21790018,22954223,7512687,8165147,",Strong,b2698,ECK120001986
b2699,2822708,2823769,-,recA,1061,,DNA recombination/repair protein RecA,"[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity]","10047484,10074404,10444598,10542196,10692372,10731413,10733533,10829063,10835273,1103845,11061970,11084028,11152126,11181060,11219855,11230142,11230150,11459984,11470894,11491297,11503517,11504729,11560883,11734008,11916875,11929519,12096908,12218174,12456687,12598538,12741852,12741853,12842880,12903344,1400177,1400384,1438275,14529621,14530291,14556640,14680809,15138263,15267169,15315951,15364575,15454450,15719060,15744322,15824062,1606138,16351198,16421856,1644827,1644828,1653032,1654503,16756994,16834432,16847846,16946710,16988658,16990254,17141804,17151069,1715863,1731253,17449010,18166039,18296520,1830922,18497818,18603529,18627467,1883879,1883882,1883886,19004837,1911941,19338667,19514040,19555451,1962209,19820696,19910465,20044347,20507912,2082728,20886744,20953173,21143322,21193798,2141651,21458462,2147430,2157980,21697094,21764927,21768124,2179566,2186808,2190981,2228969,22318518,22521886,22633148,22941658,23103864,23103870,23224554,23825559,23944487,23965307,2406267,24362571,24371286,2554312,25559557,25561575,25785454,26047498,26196253,26261330,26315438,26384422,26481664,2651400,2693734,27001450,27043933,27124470,27130282,27499708,27587394,2793864,28049371,28101376,28262707,2830283,2836358,2841294,28476890,28854739,28928411,28934502,28977583,29097773,2939874,2946663,29468195,2948553,2951381,2953903,2958446,29789437,2981202,30013537,3009481,30137528,30285153,3036851,30482842,3063827,3063828,30717823,30792518,30900876,30916331,30975899,3126496,31372639,3159017,3160686,3160687,3172227,32816866,3295259,3298251,3309327,3314992,3511041,3536864,3543003,4205905,4600265,6213837,6217403,6222041,6231641,6238224,6240586,6263487,6283318,6313216,6313656,6343787,6444245,6447873,6452577,6455420,6455429,6455430,6461657,6572385,6751562,7021552,7021553,7021554,7026047,7047518,7500959,7528894,7588783,7616568,7625276,7657604,7687008,7709802,7746854,792880,7962001,8051165,8106426,8132511,8132549,8133517,8226685,8355662,8367479,8371266,8377192,8407828,8456313,8496964,8606178,8621438,8636980,8655553,8702471,8798617,8798618,8980679,9044260,9048946,9109676,9131997,9201926,9211918,9398528,9512712,9606202,9709007,9973561,9973562,",Strong,b2699,ECK120000814
b2700,2823849,2824346,-,pncC,497,,NMN aminohydrolase,,,,b2700,ECK120003976
b2701,2824491,2825576,-,mltB,1085,,membrane-bound lytic murein transglycosylase B,,"10037771,10542235,10806384,11084598,11139297,11544210,12399477,12949085,15126489,15576800,15601715,15793119,29802191,8405923,",,b2701,ECK120003977
b2702,2825832,2826395,+,srlA,563,,sorbitol-specific PTS enzyme IIC component,,"31438868,",,b2702,ECK120004460
b2703,2826392,2827351,+,srlE,959,,sorbitol-specific PTS enzyme IIBC component,,"31438868,",,b2703,ECK120000958
b2704,2827362,2827733,+,srlB,371,,sorbitol-specific PTS enzyme IIA component,,,,b2704,ECK120000959
b2705,2827737,2828516,+,srlD,779,,sorbitol-6-phosphate 2-dehydrogenase,,"3036766,",,b2705,ECK120000960
b2706,2828621,2828980,+,gutM,359,,DNA-binding transcriptional activator GutM,"[IEP|W|Inferred from expression pattern],[HIFS|W|Human inference of function from sequence]","3062173,",Weak,b2706,ECK120000961
b2707,2829047,2829820,+,srlR,773,,DNA-binding transcriptional repressor SrlR,"[IEP|W|Inferred from expression pattern],[HIFS|W|Human inference of function from sequence]","3062173,",Weak,b2707,ECK120000963
b2708,2829813,2830778,+,gutQ,965,,D-arabinose 5-phosphate isomerase GutQ,,,,b2708,ECK120000962
b2709,2830775,2832289,-,norR,1514,,DNA-binding transcriptional dual regulator NorR,"[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity],[IEP|W|Inferred from expression pattern]","11751865,12142437,12529359,14718666,15375149,16193057,7894055,",Strong,b2709,ECK120002013
b2710,2832476,2833915,+,norV,1439,,anaerobic nitric oxide reductase flavorubredoxin,,,,b2710,ECK120003978
b2711,2833912,2835045,+,norW,1133,,NADH:flavorubredoxin reductase,,"12586421,18021800,21265775,22563051,",,b2711,ECK120002302
,2835055,2835167,+,C0664,112,,,,,,,ECK120002621
b2712,2835173,2837425,-,hypF,2252,,carbamoyl--[HypE] ligase,"[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]","1107810,12586941,22153500,23271421,25184670,26049001,26186649,3884594,3884595,8661925,8756471,",Strong,b2712,ECK120001504
b2713,2837578,2838105,-,hydN,527,,putative electron transport protein HydN,[IMP|W|Inferred from mutant phenotype],"8661925,",Weak,b2713,ECK120001505
b2714,2838254,2839264,-,ascG,1010,,DNA-binding transcriptional repressor AscG,"[GEA|W|Gene expression analysis],[HIFS|W|Human inference of function from sequence],[APPHINH|S|Assay of protein purified to homogeneity from its native host]","1630307,19633077,",Strong,b2714,ECK120000083
b2715,2839524,2840981,+,ascF,1457,,&beta;-glucoside specific PTS enzyme IIBC component,,,,b2715,ECK120000082
b2716,2840990,2842414,+,ascB,1424,,6-phospho-&beta;-glucosidase AscB,,,,b2716,ECK120000081
b2717,2842573,2843043,-,hycI,470,,hydrogenase 3 maturation protease,,,,b2717,ECK120003979
b2718,2843036,2843446,-,hycH,410,,formate hydrogenlyase assembly protein,"[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]","28718449,",Strong,b2718,ECK120000474
b2719,2843443,2844210,-,hycG,767,,formate hydrogenlyase subunit HycG,,,,b2719,ECK120000473
b2720,2844210,2844752,-,hycF,542,,formate hydrogenlyase subunit HycF,,,,b2720,ECK120000472
b2721,2844762,2846471,-,hycE,1709,,formate hydrogenlyase subunit HycE,,"31925988,",,b2721,ECK120000471
b2722,2846489,2847412,-,hycD,923,,formate hydrogenlyase subunit HycD,,,,b2722,ECK120000470
b2723,2847415,2849241,-,hycC,1826,,formate hydrogenlyase subunit HycC,,,,b2723,ECK120000469
b2724,2849238,2849849,-,hycB,611,,formate hydrogenlyase subunit HycB,,"29942290,",,b2724,ECK120000468
b2725,2849974,2850435,-,hycA,461,,regulator of the transcriptional regulator FhlA,"[IMP|W|Inferred from mutant phenotype],[AIFS|W|Automated inference of function from sequence]","15556475,1625581,",Weak,b2725,ECK120000467
b2726,2850647,2850997,+,hypA,350,,hydrogenase 3 nickel incorporation protein HypA,[IMP|W|Inferred from mutant phenotype],"1482271,",Weak,b2726,ECK120000476
b2727,2851001,2851873,+,hypB,872,,hydrogenase isoenzymes nickel incorporation protein HypB,,"28352890,",,b2727,ECK120000477
b2728,2851864,2852136,+,hypC,272,,hydrogenase 3 maturation protein HypC,[APPH|S|Assay of protein purified  to homogeneity],"26364315,9485446,",Strong,b2728,ECK120000478
b2729,2852136,2853257,+,hypD,1121,,Fe-(CN)CO cofactor assembly scaffold protein HypD,[IMP|W|Inferred from mutant phenotype],"1482271,25211029,2536683,3056901,",Weak,b2729,ECK120000479
b2730,2853254,2854264,+,hypE,1010,,"hydrogenase maturation protein, carbamoyl dehydratase",[APPH|S|Assay of protein purified  to homogeneity],"12586941,15184145,2157623,25184670,2848007,3332683,3884594,3884595,",Strong,b2730,ECK120000480
b2731,2854338,2856416,+,fhlA,2078,,DNA-binding transcriptional activator FhlA,,"2118503,2280686,8034727,",,b2731,ECK120000295
b2732,2856453,2856806,-,ygbA,353,,protein YgbA,,"18433631,",,b2732,ECK120001260
b2733,2857093,2859654,+,mutS,2561,,DNA mismatch repair protein MutS,,"12907723,19254532,30617079,",,b2733,ECK120000618
b2734,2859760,2860416,+,pphB,656,,phosphoprotein phosphatase 2,,"16079345,",,b2734,ECK120003980
b2735,2860467,2861234,-,ygbI,767,,putative DeoR-type DNA-binding transcriptional regulator YgbI,[HIFS|W|Human inference of function from sequence],"10734204,15556475,",Weak,b2735,ECK120003981
b2736,2861430,2862338,+,ygbJ,908,,putative L-threonate dehydrogenase,,"27402745,",,b2736,ECK120003982
b2737,2862335,2863501,+,ygbK,1166,,putative 3-oxo-tetronate kinase YgbK,,"24391520,27402745,",,b2737,ECK120003983
b2738,2863593,2864231,+,ygbL,638,,putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL,,"27402745,",,b2738,ECK120003984
b2739,2864236,2865012,+,ygbM,776,,putative 2-oxo-tetronate isomerase YgbM,,"27402745,",,b2739,ECK120003985
b2740,2865101,2866465,+,ygbN,1364,,putative transporter YgbN,,"31438868,",,b2740,ECK120003986
b2741,2866559,2867551,-,rpoS,992,,"RNA polymerase, sigma S (sigma 38) factor",[IE|W|Inferred from experiment],"29992897,",Weak,b2741,ECK120000503
b2742,2867614,2868753,-,nlpD,1139,,murein hydrolase activator NlpD,,"22715947,",,b2742,ECK120002015
b2743,2868893,2869519,-,pcm,626,,L-isoaspartate protein carboxylmethyltransferase type II,,,,b2743,ECK120000682
b2744,2869513,2870274,-,umpG,761,,broad specificity 5'(3')-nucleotidase and polyphosphatase,,,,b2744,ECK120001750
b2745,2870255,2871304,-,truD,1049,,tRNA pseudouridine synthase,,,,b2745,ECK120003987
b2746,2871301,2871780,-,ispF,479,,"2--methyl-D-erythritol 2,4-cyclodiphosphate synthase",,,,b2746,ECK120001749
b2747,2871780,2872490,-,ispD,710,,2--methyl-D-erythritol 4-phosphate cytidylyltransferase,,,,b2747,ECK120003988
b2748,2872509,2872820,-,ftsB,311,,cell division protein FtsB,[IMP|W|Inferred from mutant phenotype],"11972052,24083359,",Weak,b2748,ECK120003989
b2749,2873014,2873337,-,ygbE,323,,DUF3561 domain-containing inner membrane protein YgbE,,,,b2749,ECK120002365
b2750,2873387,2873992,-,cysC,605,,adenylyl-sulfate kinase,,,,b2750,ECK120000180
b2751,2873992,2875419,-,cysN,1427,,sulfate adenylyltransferase subunit 1,,,,b2751,ECK120000189
b2752,2875421,2876329,-,cysD,908,,sulfate adenylyltransferase subunit 2,,,,b2752,ECK120000181
b2753,2876581,2877618,+,iap,1037,,alkaline phosphatase isozyme conversion protein,,"6295883,7002151,",,b2753,ECK120000481
b2754,2878569,2878853,-,cas2,284,,CRISPR-associated endoribonuclease Cas2,,,,b2754,ECK120002398
b2755,2878855,2879772,-,cas1,917,,multifunctional nuclease Cas1,,,,b2755,ECK120003990
b2756,2879788,2880387,-,casE,599,,pre-CRISPR RNA endonuclease,,"22781758,22918228,26013814,",,b2756,ECK120003991
b2757,2880374,2881048,-,casD,674,,type I-E CRISPR system Cascade subunit CasD,,,,b2757,ECK120003992
b2758,2881051,2882142,-,casC,1091,,type I-E CRISPR system Cascade subunit CasC,,,,b2758,ECK120003993
b2759,2882155,2882637,-,casB,482,,type I-E CRISPR system Cascade subunit CasB,,"23079036,",,b2759,ECK120003994
b2760,2882630,2884138,-,casA,1508,,type I-E CRISPR system Cascade subunit CasA,,"22521690,24748111,",,b2760,ECK120003995
b2761,2884553,2887219,-,cas3,2666,,CRISPR-associated endonuclease/helicase Cas3,"[IDA|S|Inferred from direct assay],[IE|W|Inferred from experiment]","18703739,21699496,23406879,25123481,25326321,26956996,",Strong,b2761,ECK120002345
b4701,2887353,2887408,+,sokX,55,,small RNA SokX,,,,b4701,ECK125135289
b2762,2887578,2888312,-,cysH,734,,phosphoadenosine phosphosulfate reductase,,,,b2762,ECK120000184
b2763,2888387,2890099,-,cysI,1712,,"sulfite reductase, hemoprotein subunit",,"2158792,2966849,3301533,8395881,8457551,",,b2763,ECK120000185
b2764,2890099,2891898,-,cysJ,1799,,"sulfite reductase, flavoprotein subunit",,,,b2764,ECK120000186
b2765,2892214,2892579,+,queD,365,,"6-carboxy-5,6,7,8-tetrahydropterin synthase",,,,b2765,ECK120003996
b2766,2892657,2893928,+,ygcN,1271,,putative oxidoreductase with FAD/NAD(P)-binding domain,,,,b2766,ECK120003997
b2767,2893919,2894179,+,ygcO,260,,putative 4Fe-4S cluster-containing protein,,,,b2767,ECK120003998
b2768,2894196,2894771,+,ygcP,575,,putative anti-terminator regulatory protein,,,,b2768,ECK120003999
b2769,2894919,2895779,-,ygcQ,860,,putative flavoprotein,,,,b2769,ECK120004000
b2770,2895776,2896555,-,ygcR,779,,putative flavoprotein,,,,b2770,ECK120004001
b2771,2896533,2897870,-,ygcS,1337,,putative transporter YgcS,,"31438868,",,b2771,ECK120004002
b4463,2897964,2899418,-,ygcU,1454,,putative FAD-containing dehydrogenase,,,,"b2772,b2773,b4463",ECK120004003
b2774,2899488,2900273,-,ygcW,785,,putative deoxygluconate dehydrogenase,,,,b2774,ECK120004004
b2775,2900592,2901869,+,yqcE,1277,,putative transport protein YqcE,,"31438868,",,b2775,ECK120002430
b2776,2901896,2903374,+,ygcE,1478,,putative sugar kinase YgcE,,,,b2776,ECK120004005
b2777,2904747,2905418,-,queE,671,,putative 7-carboxy-7-deazaguanine synthase QueE,,,,b2777,ECK120004006
b4682,2905557,2905697,+,yqcG,140,,cell envelope stress response protein YqcG,[IMP|W|Inferred from mutant phenotype],"19734312,",Weak,b4682,ECK120048867
b2778,2905711,2906583,+,ygcG,872,,protein YgcG,,,,b2778,ECK120004007
b2779,2906643,2907941,-,eno,1298,,enolase,,,,b2779,ECK120000252
b2780,2908029,2909666,-,pyrG,1637,,CTP synthetase,,,,b2780,ECK120000801
b2781,2909894,2910685,-,mazG,791,,nucleoside triphosphate pyrophosphohydrolase,,,,b2781,ECK120000565
b2782,2910756,2911091,-,mazF,335,,endoribonuclease toxin MazF,,,,b2782,ECK120001224
b2783,2911091,2911339,-,mazE,248,,antitoxin of the MazF-MazE toxin-antitoxin system MazE,,,,b2783,ECK120000564
b2784,2911417,2913651,-,relA,2234,,GDP/GTP pyrophosphokinase,,"27279228,",,b2784,ECK120000826
b2785,2913699,2915000,-,rlmD,1301,,23S rRNA mU1939 methyltransferase,,,,b2785,ECK120001223
b2786,2915057,2917813,+,barA,2756,,sensor histidine kinase BarA,,,,b2786,ECK120001335
b2787,2918045,2919385,-,gudD,1340,,#NAME?,,"6999115,",,b2787,ECK120004008
b2788,2919406,2920746,-,gudX,1340,,glucarate dehydratase-related protein,,,,b2788,ECK120004009
b2789,2920748,2922100,-,gudP,1352,,galactarate/D-glucarate transporter GudP,,"22705263,9772162,",,b2789,ECK120004010
b2790,2922535,2922984,-,yqcA,449,,putative flavodoxin YqcA,,,,b2790,ECK120004011
b2791,2923002,2923784,-,truC,782,,tRNA pseudouridine synthase,,,,b2791,ECK120004012
b2792,2923784,2924113,-,yqcC,329,,DUF446 domain-containing protein YqcC,,"24391520,",,b2792,ECK120004013
b4408,2924156,2924524,-,csrB,368,,small regulatory RNA CsrB,[IDA|S|Inferred from direct assay],"11310739,11535784,11741870,16822857,17026754,17064377,18080813,20118252,24512078,24708042,28796489,30589862,9211896,",Strong,b4408,ECK120002573
b2793,2924735,2925280,-,syd,545,,SecY-interacting protein,[APPH|S|Assay of protein purified  to homogeneity],"19139097,",Strong,b2793,ECK120004014
b2794,2925348,2926196,+,queF,848,,7-cyano-7-deazaguanine reductase,,,,b2794,ECK120004015
b2795,2926308,2927672,+,ppnN,1364,,nucleotide 5'-monophosphate nucleosidase,,,,b2795,ECK120002241
b2796,2928229,2929518,+,sdaC,1289,,L-serine:H symporter SdaC,,,,b2796,ECK120002043
b2797,2929576,2930943,+,sdaB,1367,,L-serine deaminase II,,,,b2797,ECK120001571
b2798,2931055,2931810,+,ygdG,755,,flap endonuclease,[IDA|S|Inferred from direct assay],"23821668,7996866,",Strong,b2798,ECK120002240
b2799,2931865,2933013,-,fucO,1148,,"L-1,2-propanediol oxidoreductase",,"20435762,21685167,",,b2799,ECK120000345
b2800,2933041,2933688,-,fucA,647,,L-fuculose-phosphate aldolase,,,,b2800,ECK120000342
b2801,2934235,2935551,+,fucP,1316,,L-fucose:H+ symporter,,"2834341,3005235,7961494,",,b2801,ECK120000346
b2802,2935584,2937359,+,fucI,1775,,L-fucose isomerase,,,,b2802,ECK120000343
b2803,2937468,2938886,+,fucK,1418,,L-fuculokinase,,"25078267,3325779,6378890,",,b2803,ECK120000344
b2804,2938888,2939310,+,fucU,422,,L-fucose mutarotase,,,,b2804,ECK120000348
b2805,2939368,2940099,+,fucR,731,,DNA-binding transcriptional activator FucR,,"2664711,3325779,",,b2805,ECK120000347
b2806,2940143,2941243,-,rlmM,1100,,23S rRNA 2'--ribose C2498 methyltransferase,,"11293658,",,b2806,ECK120001728
b2807,2941236,2941631,-,ygdD,395,,DUF423 domain-containing inner membrane protein YgdD,,"24391520,",,b2807,ECK120001727
b2808,2941650,2942567,-,gcvA,917,,DNA-binding transcriptional dual regulator GcvA,"[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins],[HIFS|W|Human inference of function from sequence]","27718375,7665470,8188587,8375392,",Strong,b2808,ECK120001729
b4443,2942696,2942901,+,gcvB,205,,small regulatory RNA GcvB,"[IGI|W|Inferred from genetic interaction],[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern]","10972807,11448770,12069726,17264113,18312576,19118351,19221499,22020646,23316042,24391513,25358737,27588604,29905843,30447071,31553492,",Weak,b4443,ECK120002579
b2809,2942918,2943145,-,ygdI,227,,DUF903 domain-containing lipoprotein YgdI,,"15174130,",,b2809,ECK120004016
b2810,2943337,2944542,+,csdA,1205,,cysteine sulfinate desulfinase,,,,b2810,ECK120004017
b2811,2944542,2944985,+,csdE,443,,sulfur acceptor protein CsdE,,,,b2811,ECK120004018
b2812,2945036,2945842,-,tcdA,806,,tRNA threonylcarbamoyladenosine dehydratase,,,,b2812,ECK120004019
b2813,2946081,2947178,-,mltA,1097,,membrane-bound lytic murein transglycosylase A,,"11139297,12399477,1356966,15039577,15793119,15858272,",,b2813,ECK120004020
b2814,2947387,2947463,+,metZ,76,,tRNA-initiator Met(CAU),[TAS|W|Traceable author statement],"27698115,7033244,",Weak,b2814,ECK120002504
b2815,2947497,2947573,+,metW,76,,tRNA-initiator Met(CAU),[TAS|W|Traceable author statement],"27698115,7033244,",Weak,b2815,ECK120002559
b2816,2947607,2947683,+,metV,76,,tRNA-initiator Met(CAU),[TAS|W|Traceable author statement],"2112406,27698115,7033244,",Weak,b2816,ECK120002502
b2817,2947757,2949010,-,amiC,1253,,-acetylmuramoyl-L-alanine amidase C,,"1102308,6133749,",,b2817,ECK120004021
b2818,2949242,2950573,+,argA,1331,,N-acetylglutamate synthase,,,,b2818,ECK120000059
b2819,2950635,2952461,-,recD,1826,,exodeoxyribonuclease V subunit RecD,,"16452142,3015881,",,b2819,ECK120000817
b2820,2952461,2956003,-,recB,3542,,exodeoxyribonuclease V subunit RecB,,"31683605,",,b2820,ECK120000815
b2821,2955996,2958884,-,ptrA,2888,,protease 3,,"7674955,7674956,",,b2821,ECK120000777
b2822,2959060,2962428,-,recC,3368,,exodeoxyribonuclease V subunit RecC,,"12754220,3155726,",,b2822,ECK120000816
b2823,2962441,2962764,-,ppdC,323,,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdC,,"23006128,",,b2823,ECK120001137
b2824,2962749,2963156,-,ygdB,407,,DUF2509 domain-containing protein YgdB,,"23006128,",,b2824,ECK120001138
b2825,2963153,2963716,-,ppdB,563,,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdB,,"23006128,",,b2825,ECK120001139
b2826,2963707,2964177,-,ppdA,470,,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdA,,"23006128,",,b2826,ECK120001987
b2827,2964361,2965155,-,thyA,794,,thymidylate synthase,,,,b2827,ECK120000991
b2828,2965162,2966037,-,lgt,875,,phosphatidylglycerol&mdash;prolipoprotein diacylglyceryl transferase,,"26335199,341153,7048314,7592473,8051048,",,b2828,ECK120002030
b2829,2966188,2968434,-,ptsP,2246,,phosphoenolpyruvate-protein phosphotransferase PtsP,,"30800588,",,b2829,ECK120002077
b2830,2968447,2968977,-,rppH,530,,RNA pyrophosphohydrolase,,"19636968,26323881,26627477,30788220,31173659,31178354,31612599,",,b2830,ECK120004022
b4610,2969330,2969476,-,ygdT,146,,hypothetical protein YgdT,,,,b4610,ECK120030084
b2831,2969662,2970351,+,mutH,689,,DNA mismatch repair protein MutH,,,,b2831,ECK120000617
b2832,2970420,2971133,+,ygdQ,713,,UPF0053 inner membrane protein YgdQ,,,,b2832,ECK120004023
b2833,2971271,2971489,+,ygdR,218,,DUF903 domain-containing lipoprotein YgdR,,,,b2833,ECK120004024
b2834,2971597,2972637,+,tas,1040,,putative NADP(H)-dependent aldo-keto reductase Tas,[HIFS|W|Human inference of function from sequence],"11470487,24516157,9560382,",Weak,b2834,ECK120004025
b2835,2972669,2973862,-,lplT,1193,,lysophospholipid transporter,,"30790256,",,b2835,ECK120002304
b2836,2973855,2976014,-,aas,2159,,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,,,,b2836,ECK120001622
b4444,2976102,2976189,-,omrA,87,,small regulatory RNA OmrA,"[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]","11448770,11553332,16359331,18953042,20407422,22040174,32133913,",Strong,b4444,ECK120002580
